from,to,weigh,year
US3856985A,US4240295A,1,1977
US4010634A,US4240295A,1,1977
US3621708A,US4010634A,1,1974
US4318413A,US4398540A,1,1979
US3937707A,US4318413A,1,1978
US3586674A,US3937707A,1,1972
US4062237A,US4318413A,1,1978
US3766517A,US4062237A,1,1976
US3987673A,US4062237A,1,1976
US3710792A,US3987673A,1,1974
US3712119A,US3987673A,1,1974
US3766517A,US3987673A,1,1974
US3889533A,US3987673A,1,1974
US3671927A,US3889533A,1,1973
US4141347A,US4318413A,1,1978
US3777740A,US4141347A,1,1976
US3922911A,US4141347A,1,1976
US3710792A,US3922911A,1,1971
US3896788A,US4141347A,1,1976
US3710792A,US3896788A,1,1973
US3624744A,US3896788A,1,1973
US3856985A,US4141347A,1,1976
US3888238A,US4141347A,1,1976
US3756071A,US3888238A,1,1973
US3789833A,US3888238A,1,1973
US3605724A,US3789833A,1,1971
US3624744A,US3789833A,1,1971
US3777740A,US3888238A,1,1973
US3778757A,US3888238A,1,1973
US3789350A,US3888238A,1,1973
US3717843A,US3789350A,1,1970
US3593254A,US3717843A,1,1970
US3987673A,US4141347A,1,1976
US4010634A,US4141347A,1,1976
US4033335A,US4141347A,1,1976
US3769966A,US4033335A,1,1975
US3591806A,US3769966A,1,1971
US3658054A,US3769966A,1,1971
US4045815A,US4141347A,1,1976
US3765009A,US4045815A,1,1976
US3648270A,US3765009A,1,1972
US3798366A,US4045815A,1,1976
US3576944A,US3798366A,1,1972
US3619648A,US3798366A,1,1972
US3663749A,US3798366A,1,1972
US3704342A,US3798366A,1,1972
US3742136A,US3798366A,1,1972
US3579249A,US3742136A,1,1970
US3730985A,US3798366A,1,1972
US3641348A,US3730985A,1,1970
US3718757A,US3798366A,1,1972
US3898644A,US4045815A,1,1976
US3818482A,US3898644A,1,1973
US3555520A,US3818482A,1,1971
US3816730A,US3898644A,1,1973
US3546696A,US3816730A,1,1971
US3653204A,US3816730A,1,1971
US3646751A,US3816730A,1,1971
US3772874A,US3898644A,1,1973
US3612654A,US3772874A,1,1970
US3714663A,US3898644A,1,1973
US3786481A,US3898644A,1,1973
US3729730A,US3786481A,1,1972
US3792613A,US3898644A,1,1973
US3624712A,US3792613A,1,1972
US3721856A,US3792613A,1,1972
US3624632A,US3792613A,1,1972
US3803587A,US3898644A,1,1973
US3696398A,US3803587A,1,1972
US3714867A,US3803587A,1,1972
US3909818A,US4045815A,1,1976
US3555520A,US3909818A,1,1973
US3641559A,US3909818A,1,1973
US3555520A,US3641559A,1,1969
US3685038A,US3909818A,1,1973
US3624632A,US3909818A,1,1973
US3954098A,US4045815A,1,1976
US4103679A,US4318413A,1,1978
US3777740A,US4103679A,1,1977
US3922911A,US4103679A,1,1977
US3766517A,US4103679A,1,1977
US3936791A,US4103679A,1,1977
US3987673A,US4103679A,1,1977
US3940985A,US4103679A,1,1977
US3546935A,US3940985A,1,1975
US4182173A,US4318413A,1,1978
US3939707A,US4182173A,1,1978
US3777740A,US3939707A,1,1973
US4097835A,US4182173A,1,1978
US4217909A,US4318413A,1,1978
US4109642A,US4217909A,1,1978
US3690311A,US4109642A,1,1972
US3777740A,US4109642A,1,1972
US3827115A,US4109642A,1,1972
US3698051A,US3827115A,1,1972
US3710781A,US3827115A,1,1972
US3769984A,US3827115A,1,1972
US3805596A,US4109642A,1,1972
US3778756A,US4109642A,1,1972
US3939707A,US4217909A,1,1978
US3953823A,US4217909A,1,1978
US3696324A,US3953823A,1,1974
US3728026A,US3953823A,1,1974
US3733581A,US3953823A,1,1974
US3896788A,US3953823A,1,1974
US4030062A,US4217909A,1,1978
US3835448A,US4030062A,1,1974
US3676839A,US3835448A,1,1972
US3967233A,US4030062A,1,1974
US3585579A,US3967233A,1,1972
US3742436A,US3967233A,1,1972
US3585578A,US3742436A,1,1971
US3553638A,US3742436A,1,1971
US3585579A,US3742436A,1,1971
US4070905A,US4217909A,1,1978
US3789833A,US4070905A,1,1975
US3919683A,US4070905A,1,1975
US3911730A,US4070905A,1,1975
US3805596A,US3911730A,1,1973
US3820387A,US3911730A,1,1973
US3881164A,US3911730A,1,1973
US3685051A,US3881164A,1,1973
US3888238A,US4070905A,1,1975
US4062237A,US4217909A,1,1978
US4141347A,US4217909A,1,1978
US4103679A,US4217909A,1,1978
US4154113A,US4217909A,1,1978
US4079352A,US4154113A,1,1978
US4012952A,US4154113A,1,1978
US3789833A,US4012952A,1,1973
US3820387A,US4012952A,1,1973
US3918024A,US4154113A,1,1978
US3685051A,US3918024A,1,1974
US3836948A,US3918024A,1,1974
US4005382A,US4154113A,1,1978
US3936791A,US4005382A,1,1975
US4058003A,US4154113A,1,1978
US3739324A,US4058003A,1,1976
US3919683A,US4058003A,1,1976
US3936791A,US4058003A,1,1976
US3918024A,US4058003A,1,1976
US3964014A,US4058003A,1,1976
US4257278A,US4398540A,1,1979
US3939707A,US4257278A,1,1979
US4062237A,US4257278A,1,1979
US4159462A,US4257278A,1,1979
US3919683A,US4159462A,1,1977
US4030343A,US4159462A,1,1977
US3722263A,US4030343A,1,1974
US4075598A,US4159462A,1,1977
US3919683A,US4075598A,1,1975
US3918025A,US4075598A,1,1975
US3685051A,US3918025A,1,1973
US4182173A,US4257278A,1,1979
US4217909A,US4257278A,1,1979
US4602622A,US6167145A,1,1996
DE2139433A1,US4602622A,1,1979
US3974388A,US4602622A,1,1979
US4058114A,US4602622A,1,1979
US4368556A,US6167145A,1,1996
US4207953A,US4368556A,1,1980
US3788423A,US4207953A,1,1977
US3536149A,US3788423A,1,1972
US3935909A,US4207953A,1,1977
US3734207A,US3935909A,1,1973
US4064952A,US4207953A,1,1977
US3850254A,US4064952A,1,1975
US3781024A,US3850254A,1,1972
US4638798A,US6167145A,1,1996
US4181939A,US4638798A,1,1980
US3924129A,US4181939A,1,1977
US4071760A,US4181939A,1,1977
US3784820A,US4071760A,1,1974
